Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -9.394639 0.0 -66.8389 9.76609 -16.653 221.095 -1411.41 218.946 -1394.64 0.0 218.946 -1394.64 320.782 -66.8389 -921.7509 239.492 239.492
0 1 -9.394639 0.0 -66.8389 9.76609 -16.653 221.095 -1411.41 218.946 -1394.64 0.0 218.946 -1394.64 320.782 -66.8389 -921.7509 239.492 239.492
0 2 -9.394639 0.0 -66.8389 9.76609 -16.653 221.095 -1411.41 218.946 -1394.64 0.0 218.946 -1394.64 320.782 -66.8389 -921.7509 239.492 239.492
0 3 -9.372976 0.0 -66.5405 9.77625 -16.6888 221.095 -1411.41 218.98 -1394.82 0.0 218.98 -1394.82 320.652 -66.5405 -921.7285 239.517 239.517
0 4 -9.372976 0.0 -66.5405 9.77625 -16.6888 221.095 -1411.41 218.98 -1394.82 0.0 218.98 -1394.82 320.652 -66.5405 -921.7285 239.517 239.517
0 5 -9.385079 0.0 -66.7558 9.76978 -16.661 221.095 -1411.41 218.956 -1394.63 0.0 218.956 -1394.63 320.722 -66.7558 -921.7078 239.492 239.492
0 6 -9.385079 0.0 -66.7558 9.76978 -16.661 221.095 -1411.41 218.956 -1394.63 0.0 218.956 -1394.63 320.722 -66.7558 -921.7078 239.492 239.492
0 7 -9.385079 0.0 -66.7558 9.76978 -16.661 221.095 -1411.41 218.956 -1394.63 0.0 218.956 -1394.63 320.722 -66.7558 -921.7078 239.492 239.492
1 0 -9.372178 0.0 -66.0268 9.07639 -15.3788 221.095 -1411.41 219.237 -1395.77 0.0 219.237 -1395.77 323.699 -66.0268 -918.8608 241.408 241.408
1 1 -10.035008 0.0 -74.322 8.79579 -13.9235 221.095 -1411.41 218.534 -1391.67 0.0 218.534 -1391.67 331.764 -74.322 -915.69403 245.593 245.593
1 2 -9.29986 0.0 -63.8174 8.77316 -13.9893 221.095 -1411.41 218.653 -1396.18 0.0 218.653 -1396.18 332.763 -63.8174 -908.5815 252.584 252.584
1 3 -9.22729 0.0 -62.6179 8.7659 -14.0071 221.095 -1411.41 218.59 -1396.78 0.0 218.59 -1396.78 332.471 -62.6179 -908.3369 252.659 252.659
1 4 -8.907143 0.0 -59.5697 8.93982 -14.6506 221.095 -1411.41 218.923 -1397.15 0.0 218.923 -1397.15 332.165 -59.5697 -905.6317 254.757 254.757
2 0 -8.793869 0.0 -53.8326 9.48458 -15.6736 221.095 -1411.41 218.219 -1403.26 0.0 218.219 -1403.26 321.205 -53.8326 -917.6687 243.927 243.927
2 1 -8.793869 0.0 -53.8326 9.48458 -15.6736 221.095 -1411.41 218.219 -1403.26 0.0 218.219 -1403.26 321.205 -53.8326 -917.6687 243.927 243.927
